index,类别：所有类别
2018-01,7
2018-02,7
2018-03,7
2018-04,7
2018-05,9
2018-06,10
2018-07,7
2018-08,8
2018-09,8
2018-10,8
2018-11,8
2018-12,8
2019-01,8
2019-02,8
2019-03,9
2019-04,8
2019-05,10
2019-06,10
2019-07,9
2019-08,9
2019-09,9
2019-10,10
2019-11,9
2019-12,9
2020-01,9
2020-02,8
2020-03,7
2020-04,7
2020-05,10
2020-06,8
2020-07,7
2020-08,7
2020-09,8
2020-10,10
2020-11,12
2020-12,18
2021-01,14
2021-02,15
2021-03,15
2021-04,9
2021-05,11
2021-06,29
2021-07,7
2021-08,7
2021-09,6
2021-10,8
2021-11,8
2021-12,8
2022-01,8
2022-02,8
2022-03,9
2022-04,11
2022-05,10
2022-06,9
2022-07,9
2022-08,9
2022-09,9
2022-10,9
2022-11,8
2022-12,8
2023-01,8
2023-02,7
2023-03,8
