index,类别：所有类别
2018-01,31
2018-02,33
2018-03,32
2018-04,32
2018-05,29
2018-06,22
2018-07,29
2018-08,31
2018-09,41
2018-10,41
2018-11,45
2018-12,35
2019-01,37
2019-02,39
2019-03,36
2019-04,34
2019-05,32
2019-06,30
2019-07,33
2019-08,56
2019-09,46
2019-10,47
2019-11,48
2019-12,38
2020-01,40
2020-02,44
2020-03,43
2020-04,100
2020-05,55
2020-06,57
2020-07,42
2020-08,51
2020-09,74
2020-10,73
2020-11,69
2020-12,68
2021-01,48
2021-02,58
2021-03,65
2021-04,48
2021-05,37
2021-06,43
2021-07,30
2021-08,43
2021-09,60
2021-10,57
2021-11,53
2021-12,46
2022-01,41
2022-02,56
2022-03,55
2022-04,37
2022-05,36
2022-06,37
2022-07,36
2022-08,43
2022-09,61
2022-10,60
2022-11,59
2022-12,46
2023-01,43
2023-02,45
2023-03,48
