index,类别：所有类别
2018-01,33
2018-02,34
2018-03,39
2018-04,33
2018-05,34
2018-06,36
2018-07,34
2018-08,38
2018-09,50
2018-10,47
2018-11,48
2018-12,57
2019-01,52
2019-02,50
2019-03,51
2019-04,46
2019-05,47
2019-06,54
2019-07,50
2019-08,53
2019-09,51
2019-10,49
2019-11,53
2019-12,50
2020-01,58
2020-02,52
2020-03,47
2020-04,50
2020-05,41
2020-06,50
2020-07,45
2020-08,47
2020-09,50
2020-10,47
2020-11,50
2020-12,52
2021-01,53
2021-02,56
2021-03,59
2021-04,47
2021-05,49
2021-06,50
2021-07,40
2021-08,45
2021-09,51
2021-10,49
2021-11,50
2021-12,51
2022-01,54
2022-02,52
2022-03,61
2022-04,69
2022-05,61
2022-06,58
2022-07,59
2022-08,68
2022-09,100
2022-10,59
2022-11,60
2022-12,59
2023-01,60
2023-02,58
2023-03,63
