index,类别：所有类别
2018-01,90
2018-02,88
2018-03,86
2018-04,82
2018-05,80
2018-06,81
2018-07,87
2018-08,87
2018-09,89
2018-10,82
2018-11,91
2018-12,90
2019-01,91
2019-02,68
2019-03,65
2019-04,80
2019-05,91
2019-06,92
2019-07,98
2019-08,85
2019-09,88
2019-10,82
2019-11,84
2019-12,82
2020-01,91
2020-02,94
2020-03,78
2020-04,69
2020-05,79
2020-06,86
2020-07,84
2020-08,79
2020-09,74
2020-10,74
2020-11,76
2020-12,81
2021-01,73
2021-02,71
2021-03,71
2021-04,73
2021-05,74
2021-06,70
2021-07,61
2021-08,66
2021-09,71
2021-10,71
2021-11,68
2021-12,71
2022-01,74
2022-02,71
2022-03,73
2022-04,76
2022-05,80
2022-06,85
2022-07,80
2022-08,75
2022-09,78
2022-10,75
2022-11,64
2022-12,75
2023-01,79
2023-02,76
2023-03,75
