index,类别：所有类别
2018-01,7
2018-02,7
2018-03,8
2018-04,7
2018-05,7
2018-06,3
2018-07,6
2018-08,12
2018-09,16
2018-10,10
2018-11,9
2018-12,7
2019-01,8
2019-02,8
2019-03,8
2019-04,7
2019-05,7
2019-06,4
2019-07,5
2019-08,16
2019-09,15
2019-10,9
2019-11,8
2019-12,7
2020-01,8
2020-02,7
2020-03,12
2020-04,15
2020-05,9
2020-06,11
2020-07,5
2020-08,18
2020-09,24
2020-10,12
2020-11,10
2020-12,14
2021-01,8
2021-02,11
2021-03,13
2021-04,10
2021-05,7
2021-06,9
2021-07,4
2021-08,16
2021-09,18
2021-10,8
2021-11,9
2021-12,9
2022-01,9
2022-02,13
2022-03,15
2022-04,9
2022-05,8
2022-06,6
2022-07,5
2022-08,18
2022-09,32
2022-10,10
2022-11,10
2022-12,7
2023-01,9
2023-02,9
2023-03,9
