index,类别：所有类别
2018-01,3
2018-02,6
2018-03,5
2018-04,4
2018-05,4
2018-06,5
2018-07,8
2018-08,4
2018-09,4
2018-10,4
2018-11,5
2018-12,3
2019-01,2
2019-02,5
2019-03,7
2019-04,6
2019-05,5
2019-06,6
2019-07,6
2019-08,3
2019-09,5
2019-10,5
2019-11,6
2019-12,3
2020-01,4
2020-02,5
2020-03,7
2020-04,4
2020-05,4
2020-06,2
2020-07,3
2020-08,4
2020-09,3
2020-10,4
2020-11,5
2020-12,4
2021-01,6
2021-02,6
2021-03,5
2021-04,5
2021-05,5
2021-06,6
2021-07,6
2021-08,7
2021-09,6
2021-10,4
2021-11,7
2021-12,5
2022-01,6
2022-02,9
2022-03,13
2022-04,12
2022-05,11
2022-06,15
2022-07,16
2022-08,6
2022-09,9
2022-10,11
2022-11,10
2022-12,7
2023-01,6
2023-02,9
2023-03,13
