index,类别：所有类别
2018-01,31
2018-02,28
2018-03,31
2018-04,29
2018-05,35
2018-06,32
2018-07,36
2018-08,35
2018-09,35
2018-10,36
2018-11,38
2018-12,35
2019-01,36
2019-02,38
2019-03,38
2019-04,34
2019-05,40
2019-06,48
2019-07,49
2019-08,46
2019-09,52
2019-10,49
2019-11,48
2019-12,49
2020-01,52
2020-02,52
2020-03,54
2020-04,65
2020-05,72
2020-06,72
2020-07,71
2020-08,73
2020-09,72
2020-10,62
2020-11,63
2020-12,67
2021-01,68
2021-02,74
2021-03,68
2021-04,70
2021-05,71
2021-06,77
2021-07,78
2021-08,74
2021-09,71
2021-10,68
2021-11,74
2021-12,69
2022-01,84
2022-02,88
2022-03,89
2022-04,85
2022-05,92
2022-06,100
2022-07,93
2022-08,80
2022-09,87
2022-10,86
2022-11,82
2022-12,88
2023-01,84
2023-02,85
2023-03,77
