index,类别：所有类别
2018-01,26
2018-02,26
2018-03,27
2018-04,28
2018-05,30
2018-06,27
2018-07,28
2018-08,29
2018-09,25
2018-10,26
2018-11,27
2018-12,28
2019-01,28
2019-02,28
2019-03,27
2019-04,25
2019-05,31
2019-06,31
2019-07,32
2019-08,34
2019-09,34
2019-10,38
2019-11,32
2019-12,33
2020-01,33
2020-02,32
2020-03,32
2020-04,36
2020-05,38
2020-06,36
2020-07,36
2020-08,37
2020-09,36
2020-10,33
2020-11,33
2020-12,34
2021-01,33
2021-02,33
2021-03,32
2021-04,36
2021-05,32
2021-06,40
2021-07,39
2021-08,30
2021-09,29
2021-10,29
2021-11,30
2021-12,33
2022-01,38
2022-02,38
2022-03,39
2022-04,38
2022-05,37
2022-06,40
2022-07,43
2022-08,33
2022-09,36
2022-10,34
2022-11,33
2022-12,36
2023-01,36
2023-02,32
2023-03,30
