index,类别：所有类别
2018-01,13
2018-02,13
2018-03,10
2018-04,9
2018-05,12
2018-06,12
2018-07,12
2018-08,11
2018-09,13
2018-10,12
2018-11,11
2018-12,9
2019-01,13
2019-02,14
2019-03,12
2019-04,10
2019-05,13
2019-06,13
2019-07,14
2019-08,11
2019-09,15
2019-10,15
2019-11,13
2019-12,11
2020-01,15
2020-02,16
2020-03,12
2020-04,12
2020-05,15
2020-06,13
2020-07,11
2020-08,11
2020-09,11
2020-10,11
2020-11,14
2020-12,11
2021-01,15
2021-02,17
2021-03,15
2021-04,12
2021-05,15
2021-06,19
2021-07,16
2021-08,14
2021-09,16
2021-10,16
2021-11,16
2021-12,14
2022-01,17
2022-02,19
2022-03,18
2022-04,16
2022-05,20
2022-06,22
2022-07,19
2022-08,13
2022-09,18
2022-10,20
2022-11,17
2022-12,13
2023-01,18
2023-02,19
2023-03,23
