index,类别：所有类别
2018-01,11
2018-02,9
2018-03,9
2018-04,11
2018-05,10
2018-06,9
2018-07,10
2018-08,10
2018-09,15
2018-10,11
2018-11,10
2018-12,10
2019-01,11
2019-02,12
2019-03,9
2019-04,9
2019-05,11
2019-06,12
2019-07,14
2019-08,16
2019-09,15
2019-10,13
2019-11,14
2019-12,13
2020-01,13
2020-02,14
2020-03,15
2020-04,18
2020-05,17
2020-06,17
2020-07,17
2020-08,17
2020-09,15
2020-10,14
2020-11,14
2020-12,15
2021-01,16
2021-02,17
2021-03,17
2021-04,18
2021-05,16
2021-06,18
2021-07,19
2021-08,16
2021-09,20
2021-10,17
2021-11,16
2021-12,15
2022-01,21
2022-02,22
2022-03,26
2022-04,37
2022-05,23
2022-06,27
2022-07,25
2022-08,18
2022-09,24
2022-10,22
2022-11,20
2022-12,21
2023-01,20
2023-02,20
2023-03,21
