index,类别：所有类别
2018-01,18
2018-02,21
2018-03,22
2018-04,21
2018-05,21
2018-06,22
2018-07,22
2018-08,21
2018-09,23
2018-10,23
2018-11,23
2018-12,23
2019-01,23
2019-02,28
2019-03,25
2019-04,21
2019-05,27
2019-06,26
2019-07,29
2019-08,31
2019-09,30
2019-10,26
2019-11,28
2019-12,28
2020-01,30
2020-02,32
2020-03,32
2020-04,38
2020-05,43
2020-06,41
2020-07,39
2020-08,41
2020-09,37
2020-10,36
2020-11,35
2020-12,30
2021-01,36
2021-02,38
2021-03,37
2021-04,38
2021-05,35
2021-06,40
2021-07,38
2021-08,30
2021-09,31
2021-10,30
2021-11,34
2021-12,31
2022-01,42
2022-02,38
2022-03,41
2022-04,36
2022-05,37
2022-06,38
2022-07,37
2022-08,33
2022-09,36
2022-10,32
2022-11,29
2022-12,33
2023-01,33
2023-02,34
2023-03,32
