index,类别：所有类别
2018-01,6
2018-02,8
2018-03,7
2018-04,6
2018-05,8
2018-06,8
2018-07,10
2018-08,6
2018-09,7
2018-10,7
2018-11,6
2018-12,4
2019-01,5
2019-02,4
2019-03,6
2019-04,7
2019-05,8
2019-06,9
2019-07,9
2019-08,5
2019-09,9
2019-10,9
2019-11,7
2019-12,4
2020-01,6
2020-02,7
2020-03,7
2020-04,4
2020-05,4
2020-06,4
2020-07,5
2020-08,5
2020-09,5
2020-10,5
2020-11,6
2020-12,5
2021-01,4
2021-02,8
2021-03,10
2021-04,8
2021-05,8
2021-06,10
2021-07,10
2021-08,7
2021-09,8
2021-10,9
2021-11,8
2021-12,6
2022-01,10
2022-02,10
2022-03,11
2022-04,9
2022-05,11
2022-06,14
2022-07,15
2022-08,12
2022-09,12
2022-10,12
2022-11,13
2022-12,10
2023-01,11
2023-02,11
2023-03,8
