Year,Month,Money Supply M2
2018,1,23963031.48
2018,2,24143010.28
2018,3,24424422.14
2018,4,24474153.99
2018,5,25169014.19
2018,6,24814004.52
2018,7,24971101.93
2018,8,24859346.47
2018,9,25560662.33
2018,10,26041903.87
2018,11,25467425.55
2018,12,27068575.06
2019,1,26771087.05
2019,2,26546639.71
2019,3,26834815.12
2019,4,27579445.15
2019,5,27813701.61
2019,6,27898828.27
2019,7,28277141.77
2019,8,27556798.88
2019,9,27669957.17
2019,10,27811790.84
2019,11,28415371.99
2019,12,28783194.45
2020,1,29132380.36
2020,2,29719364.53
2020,3,31010122.07
2020,4,31958484.85
2020,5,32719162.68
2020,6,32593522.49
2020,7,33337326.82
2020,8,34262588.49
2020,9,34965447.66
2020,10,35729184.39
2020,11,36517795.8
2020,12,37828875.85
2021,1,37544491.37
2021,2,38099427.26
2021,3,38288212.81
2021,4,38462975.04
2021,5,38692973.28
2021,6,38863053.22
2021,7,39733556.72
2021,8,40810092.82
2021,9,40449202.79
2021,10,41474377.37
2021,11,42600088.22
2021,12,44443065.59
2022,1,45089157.64
2022,2,44739337.92
2022,3,45663905.91
2022,4,47146645.19
2022,5,48513506.45
2022,6,48897446.57
2022,7,48290293.34
2022,8,49315851.17
2022,9,49331836.37
2022,10,50628734.53
2022,11,51784485.54
2022,12,51747302.38
