index,类别：所有类别
2018-01,50
2018-02,47
2018-03,48
2018-04,47
2018-05,51
2018-06,51
2018-07,51
2018-08,49
2018-09,48
2018-10,46
2018-11,52
2018-12,54
2019-01,54
2019-02,50
2019-03,51
2019-04,60
2019-05,61
2019-06,63
2019-07,64
2019-08,64
2019-09,68
2019-10,68
2019-11,69
2019-12,67
2020-01,69
2020-02,66
2020-03,68
2020-04,71
2020-05,86
2020-06,88
2020-07,81
2020-08,87
2020-09,87
2020-10,73
2020-11,84
2020-12,91
2021-01,91
2021-02,80
2021-03,82
2021-04,83
2021-05,83
2021-06,80
2021-07,80
2021-08,80
2021-09,80
2021-10,79
2021-11,84
2021-12,78
2022-01,94
2022-02,90
2022-03,100
2022-04,96
2022-05,94
2022-06,93
2022-07,99
2022-08,89
2022-09,92
2022-10,88
2022-11,86
2022-12,95
2023-01,88
2023-02,75
2023-03,70
