index,类别：所有类别
2018-01,14
2018-02,15
2018-03,17
2018-04,15
2018-05,18
2018-06,16
2018-07,15
2018-08,16
2018-09,15
2018-10,15
2018-11,16
2018-12,17
2019-01,18
2019-02,16
2019-03,17
2019-04,16
2019-05,19
2019-06,19
2019-07,19
2019-08,20
2019-09,18
2019-10,19
2019-11,18
2019-12,19
2020-01,19
2020-02,18
2020-03,18
2020-04,19
2020-05,22
2020-06,21
2020-07,21
2020-08,20
2020-09,21
2020-10,18
2020-11,19
2020-12,20
2021-01,20
2021-02,20
2021-03,20
2021-04,19
2021-05,19
2021-06,20
2021-07,22
2021-08,21
2021-09,20
2021-10,19
2021-11,19
2021-12,19
2022-01,23
2022-02,23
2022-03,23
2022-04,23
2022-05,21
2022-06,21
2022-07,22
2022-08,21
2022-09,23
2022-10,21
2022-11,20
2022-12,21
2023-01,21
2023-02,18
2023-03,18
