index,类别：所有类别
2018-01,3
2018-02,2
2018-03,3
2018-04,3
2018-05,3
2018-06,3
2018-07,2
2018-08,2
2018-09,2
2018-10,2
2018-11,3
2018-12,2
2019-01,2
2019-02,2
2019-03,2
2019-04,3
2019-05,2
2019-06,2
2019-07,2
2019-08,2
2019-09,2
2019-10,2
2019-11,2
2019-12,2
2020-01,2
2020-02,2
2020-03,4
2020-04,3
2020-05,3
2020-06,2
2020-07,2
2020-08,2
2020-09,2
2020-10,2
2020-11,2
2020-12,2
2021-01,2
2021-02,2
2021-03,2
2021-04,2
2021-05,2
2021-06,3
2021-07,2
2021-08,2
2021-09,2
2021-10,2
2021-11,2
2021-12,2
2022-01,3
2022-02,3
2022-03,3
2022-04,3
2022-05,3
2022-06,3
2022-07,3
2022-08,3
2022-09,4
2022-10,3
2022-11,3
2022-12,3
2023-01,2
2023-02,2
2023-03,2
