index,类别：所有类别
2018-01,14
2018-02,15
2018-03,14
2018-04,13
2018-05,16
2018-06,14
2018-07,13
2018-08,13
2018-09,12
2018-10,12
2018-11,11
2018-12,10
2019-01,13
2019-02,12
2019-03,14
2019-04,15
2019-05,17
2019-06,16
2019-07,14
2019-08,13
2019-09,14
2019-10,14
2019-11,14
2019-12,13
2020-01,14
2020-02,17
2020-03,14
2020-04,13
2020-05,13
2020-06,13
2020-07,11
2020-08,11
2020-09,14
2020-10,11
2020-11,12
2020-12,10
2021-01,12
2021-02,14
2021-03,15
2021-04,13
2021-05,14
2021-06,17
2021-07,16
2021-08,14
2021-09,13
2021-10,12
2021-11,13
2021-12,9
2022-01,15
2022-02,18
2022-03,17
2022-04,14
2022-05,17
2022-06,18
2022-07,15
2022-08,25
2022-09,37
2022-10,23
2022-11,19
2022-12,17
2023-01,17
2023-02,16
2023-03,16
