index,类别：所有类别
2018-01,7
2018-02,6
2018-03,7
2018-04,6
2018-05,6
2018-06,7
2018-07,7
2018-08,6
2018-09,5
2018-10,7
2018-11,7
2018-12,7
2019-01,7
2019-02,7
2019-03,7
2019-04,8
2019-05,9
2019-06,8
2019-07,8
2019-08,7
2019-09,8
2019-10,8
2019-11,8
2019-12,7
2020-01,8
2020-02,8
2020-03,10
2020-04,7
2020-05,8
2020-06,8
2020-07,8
2020-08,8
2020-09,12
2020-10,7
2020-11,8
2020-12,8
2021-01,8
2021-02,9
2021-03,11
2021-04,8
2021-05,8
2021-06,9
2021-07,9
2021-08,8
2021-09,8
2021-10,8
2021-11,9
2021-12,7
2022-01,10
2022-02,14
2022-03,16
2022-04,12
2022-05,13
2022-06,14
2022-07,13
2022-08,11
2022-09,12
2022-10,11
2022-11,13
2022-12,13
2023-01,14
2023-02,13
2023-03,12
