DATE,M2SL
2018-01-01,13868.2
2018-02-01,13910.2
2018-03-01,13965.5
2018-04-01,13987.7
2018-05-01,14041.2
2018-06-01,14102.6
2018-07-01,14137.0
2018-08-01,14187.4
2018-09-01,14214.6
2018-10-01,14228.5
2018-11-01,14241.6
2018-12-01,14358.8
2019-01-01,14430.8
2019-02-01,14472.3
2019-03-01,14510.7
2019-04-01,14541.0
2019-05-01,14632.5
2019-06-01,14754.8
2019-07-01,14833.8
2019-08-01,14919.8
2019-09-01,15004.8
2019-10-01,15144.2
2019-11-01,15249.9
2019-12-01,15319.1
2020-01-01,15401.8
2020-02-01,15458.7
2020-03-01,15988.6
2020-04-01,17002.5
2020-05-01,17835.2
2020-06-01,18129.3
2020-07-01,18277.8
2020-08-01,18357.4
2020-09-01,18575.2
2020-10-01,18735.7
2020-11-01,18969.8
2020-12-01,19124.8
2021-01-01,19372.4
2021-02-01,19615.1
2021-03-01,19853.8
2021-04-01,20110.7
2021-05-01,20418.7
2021-06-01,20460.1
2021-07-01,20615.3
2021-08-01,20835.3
2021-09-01,20965.8
2021-10-01,21143.8
2021-11-01,21349.2
2021-12-01,21489.9
2022-01-01,21649.7
2022-02-01,21708.4
2022-03-01,21739.7
2022-04-01,21644.2
2022-05-01,21649.0
2022-06-01,21607.3
2022-07-01,21636.1
2022-08-01,21631.9
2022-09-01,21503.3
2022-10-01,21415.5
2022-11-01,21354.8
2022-12-01,21207.4
