car,coca,electric,energy,gasoline,price
64,78,43,9,15,43
59,86,47,15,16,40
60,83,25,16,22,42
61,89,36,27,22,43
62,100,57,23,37,45
65,73,22,19,25,42
67,57,35,23,20,40
55,56,35,20,18,41
60,65,36,8,18,38
54,71,31,26,20,39
49,75,46,12,18,39
49,72,36,19,17,42
51,61,30,20,15,37
47,58,38,16,15,36
50,72,32,22,23,39
56,72,22,23,29,40
52,71,40,20,22,39
58,59,29,19,21,38
53,57,31,16,23,37
50,51,51,22,56,44
46,53,43,33,77,47
41,67,55,26,29,38
38,61,37,27,22,37
40,58,39,18,16,34
38,50,49,20,18,35
33,63,32,33,18,34
41,70,45,21,20,34
44,65,36,20,42,39
45,62,41,24,35,41
42,47,38,23,26,36
50,54,43,22,31,37
44,47,48,13,29,35
38,51,48,23,28,37
36,61,45,23,20,34
36,54,39,20,17,35
37,45,46,23,16,32
37,46,51,19,17,32
35,52,53,22,16,33
38,51,47,23,19,33
37,52,45,27,23,36
44,56,43,29,40,38
42,45,41,18,25,36
44,41,52,20,23,38
41,41,28,21,21,35
37,43,30,21,19,34
35,46,40,26,18,34
38,44,41,26,24,39
35,40,38,27,19,37
40,39,43,26,20,36
35,41,36,29,21,36
44,41,38,29,32,42
46,51,54,30,42,43
57,46,62,36,61,46
50,39,73,33,59,47
47,37,90,36,44,44
42,36,79,31,33,39
39,32,56,34,47,42
42,41,49,48,38,47
41,32,56,33,31,47
43,33,46,33,25,47
40,29,51,30,20,42
40,33,53,30,18,39
45,34,45,40,18,43
46,35,53,33,17,41
47,33,47,26,21,42
48,26,53,30,22,43
52,26,64,23,22,44
52,24,53,24,21,44
43,32,51,26,17,41
39,30,50,29,18,41
38,30,44,32,16,45
37,26,47,29,16,46
41,23,55,25,18,45
43,27,60,35,17,44
43,28,54,32,19,44
43,29,53,35,21,47
43,30,58,28,21,46
44,28,62,27,20,45
47,21,57,19,19,52
46,21,50,23,19,48
43,22,44,22,18,45
43,25,50,26,19,44
39,21,54,26,18,46
41,21,45,23,19,48
46,19,52,26,22,44
48,23,48,32,29,47
48,22,42,33,37,49
56,21,44,30,39,50
51,22,45,26,39,49
51,19,50,22,31,47
55,18,58,24,30,49
49,18,63,26,29,49
51,19,54,27,27,47
47,20,47,28,25,46
50,20,37,24,25,46
45,18,33,22,23,47
47,17,42,25,26,48
50,18,42,30,35,49
51,20,44,28,37,47
52,21,51,30,32,49
52,23,47,26,32,51
51,18,50,26,31,50
55,19,50,24,30,51
52,19,45,24,31,51
54,18,41,24,29,50
49,17,43,30,34,50
47,17,31,27,39,52
46,14,29,22,23,49
51,16,40,27,24,49
50,15,37,27,28,48
56,14,42,30,27,50
51,15,39,31,25,50
55,16,50,32,28,53
55,13,48,26,30,53
57,13,49,27,30,57
60,13,48,26,26,49
51,15,41,25,24,49
53,15,41,29,25,49
54,14,39,27,25,55
50,12,35,28,23,53
52,11,47,32,24,50
51,17,47,33,24,51
57,12,51,33,26,51
56,14,52,31,27,51
52,17,58,31,28,51
54,14,55,32,29,54
61,13,55,30,30,55
59,13,45,29,28,53
52,15,47,30,25,54
54,15,43,35,27,52
52,13,46,34,27,56
55,14,43,43,32,61
55,13,43,47,30,58
59,13,46,41,26,55
56,13,40,38,26,59
73,15,42,36,26,60
69,14,43,34,29,58
70,14,39,35,29,60
69,17,40,38,33,59
68,17,38,43,34,60
62,21,39,40,29,57
59,20,35,37,26,58
58,19,37,32,26,60
59,21,29,37,26,60
64,16,35,48,28,59
68,18,37,55,28,60
67,17,35,58,29,59
68,18,34,52,28,57
71,20,32,45,31,60
70,16,37,37,32,61
68,16,37,36,34,63
65,14,33,32,32,58
67,14,32,35,36,58
62,14,35,35,30,58
62,16,35,42,26,59
64,15,34,42,28,59
65,16,43,38,28,59
62,17,40,41,28,62
71,16,40,40,29,62
70,17,40,43,34,60
75,21,48,39,32,64
78,17,53,41,36,69
83,17,53,37,35,67
77,15,51,38,38,67
71,16,52,38,44,65
78,17,49,38,32,64
72,16,39,38,31,70
72,15,35,46,31,86
71,15,36,47,30,81
73,15,36,47,31,72
74,17,31,41,34,67
74,16,31,39,36,67
75,18,33,40,41,68
75,16,40,42,42,68
79,14,43,41,41,69
80,14,40,41,40,68
76,15,35,38,36,64
69,15,33,39,35,62
70,15,31,41,34,63
67,14,32,42,35,63
65,15,35,40,33,66
67,16,34,39,33,62
73,16,30,42,38,63
72,16,33,43,40,65
71,19,33,42,40,66
73,16,38,40,44,70
73,16,39,39,44,68
72,16,43,40,41,65
72,15,42,40,42,63
69,15,34,38,38,63
68,15,33,40,36,63
66,15,35,42,34,64
65,14,35,46,33,65
75,16,42,55,32,74
55,16,42,82,40,74
52,16,40,79,36,68
69,21,45,60,35,69
76,18,57,67,36,71
77,18,59,62,37,68
74,17,60,51,35,72
73,18,53,49,34,66
73,21,57,59,33,66
65,19,54,57,33,66
65,19,56,62,31,73
73,18,58,78,34,86
79,33,100,100,38,95
78,26,58,78,44,80
84,27,66,64,39,90
89,24,65,66,80,100
83,25,69,62,47,84
80,22,70,52,47,78
80,20,70,51,43,75
74,19,77,56,40,72
77,21,94,62,45,81
79,22,89,68,43,83
70,23,63,57,38,76
80,27,56,65,38,77
86,36,65,81,49,85
100,36,68,91,100,92
90,34,58,78,53,73
90,41,71,73,66,83
89,31,83,80,84,89
90,32,82,68,64,82
85,32,88,79,52,78
79,31,83,70,45,73
76,31,61,69,49,67
70,26,54,64,41,72
75,25,56,61,39,68
