类别：工商业

周,农业: (美国),广告: (美国)
2018-03-04,50,83
2018-03-11,47,83
2018-03-18,49,81
2018-03-25,45,86
2018-04-01,48,87
2018-04-08,48,88
2018-04-15,49,82
2018-04-22,49,84
2018-04-29,44,83
2018-05-06,48,80
2018-05-13,44,77
2018-05-20,39,77
2018-05-27,37,75
2018-06-03,36,77
2018-06-10,36,77
2018-06-17,34,75
2018-06-24,34,72
2018-07-01,33,71
2018-07-08,36,77
2018-07-15,37,75
2018-07-22,36,78
2018-07-29,38,74
2018-08-05,39,77
2018-08-12,39,73
2018-08-19,43,79
2018-08-26,48,79
2018-09-02,44,88
2018-09-09,47,89
2018-09-16,47,87
2018-09-23,49,85
2018-09-30,44,84
2018-10-07,47,83
2018-10-14,45,85
2018-10-21,47,83
2018-10-28,45,85
2018-11-04,46,98
2018-11-11,41,90
2018-11-18,35,74
2018-11-25,44,87
2018-12-02,45,83
2018-12-09,45,79
2018-12-16,39,77
2018-12-23,29,59
2018-12-30,36,68
2019-01-06,47,80
2019-01-13,50,82
2019-01-20,46,85
2019-01-27,51,84
2019-02-03,48,90
2019-02-10,52,83
2019-02-17,50,80
2019-02-24,52,88
2019-03-03,52,87
2019-03-10,46,83
2019-03-17,49,77
2019-03-24,48,83
2019-03-31,52,90
2019-04-07,50,85
2019-04-14,46,81
2019-04-21,49,83
2019-04-28,50,92
2019-05-05,46,80
2019-05-12,48,76
2019-05-19,45,75
2019-05-26,40,71
2019-06-02,39,91
2019-06-09,39,81
2019-06-16,38,76
2019-06-23,37,77
2019-06-30,34,76
2019-07-07,37,75
2019-07-14,37,76
2019-07-21,37,77
2019-07-28,38,79
2019-08-04,40,82
2019-08-11,42,81
2019-08-18,46,86
2019-08-25,44,79
2019-09-01,43,79
2019-09-08,48,81
2019-09-15,49,88
2019-09-22,50,88
2019-09-29,50,91
2019-10-06,48,84
2019-10-13,46,81
2019-10-20,48,89
2019-10-27,43,84
2019-11-03,48,97
2019-11-10,44,100
2019-11-17,44,99
2019-11-24,32,79
2019-12-01,44,93
2019-12-08,43,80
2019-12-15,41,79
2019-12-22,30,64
2019-12-29,33,70
2020-01-05,43,84
2020-01-12,48,85
2020-01-19,46,82
2020-01-26,49,87
2020-02-02,52,100
2020-02-09,50,100
2020-02-16,54,90
2020-02-23,51,89
2020-03-01,50,100
2020-03-08,44,82
2020-03-15,38,69
2020-03-22,45,74
2020-03-29,54,81
2020-04-05,48,86
2020-04-12,42,87
2020-04-19,50,86
2020-04-26,52,88
2020-05-03,52,92
2020-05-10,50,82
2020-05-17,47,81
2020-05-24,40,77
2020-05-31,38,79
2020-06-07,40,83
2020-06-14,39,88
2020-06-21,38,92
2020-06-28,37,86
2020-07-05,39,92
2020-07-12,37,87
2020-07-19,38,89
2020-07-26,40,85
2020-08-02,37,89
2020-08-09,38,84
2020-08-16,42,87
2020-08-23,45,83
2020-08-30,47,87
2020-09-06,45,90
2020-09-13,50,91
2020-09-20,50,89
2020-09-27,45,88
2020-10-04,45,90
2020-10-11,41,87
2020-10-18,42,82
2020-10-25,40,80
2020-11-01,33,70
2020-11-08,40,85
2020-11-15,40,85
2020-11-22,35,74
2020-11-29,40,77
2020-12-06,40,70
2020-12-13,37,73
2020-12-20,31,61
2020-12-27,32,63
2021-01-03,39,66
2021-01-10,40,68
2021-01-17,42,68
2021-01-24,42,79
2021-01-31,47,77
2021-02-07,45,82
2021-02-14,44,72
2021-02-21,49,72
2021-02-28,47,79
2021-03-07,45,69
2021-03-14,39,68
2021-03-21,42,68
2021-03-28,40,68
2021-04-04,40,74
2021-04-11,42,66
2021-04-18,43,72
2021-04-25,45,72
2021-05-02,40,71
2021-05-09,41,77
2021-05-16,41,74
2021-05-23,41,72
2021-05-30,35,71
2021-06-06,34,74
2021-06-13,37,71
2021-06-20,34,64
2021-06-27,37,71
2021-07-04,36,68
2021-07-11,34,67
2021-07-18,36,71
2021-07-25,37,61
2021-08-01,36,65
2021-08-08,36,65
2021-08-15,38,66
2021-08-22,40,70
2021-08-29,41,70
2021-09-05,41,66
2021-09-12,39,78
2021-09-19,40,70
2021-09-26,42,75
2021-10-03,40,75
2021-10-10,42,81
2021-10-17,42,79
2021-10-24,42,78
2021-10-31,41,79
2021-11-07,40,76
2021-11-14,38,75
2021-11-21,32,68
2021-11-28,39,66
2021-12-05,37,67
2021-12-12,36,65
2021-12-19,28,58
2021-12-26,32,55
2022-01-02,42,63
2022-01-09,41,70
2022-01-16,41,66
2022-01-23,45,70
2022-01-30,45,75
2022-02-06,50,80
2022-02-13,49,77
2022-02-20,47,71
2022-02-27,48,70
2022-03-06,46,75
2022-03-13,45,68
2022-03-20,46,73
2022-03-27,50,84
2022-04-03,49,87
2022-04-10,46,92
2022-04-17,49,88
2022-04-24,54,87
2022-05-01,61,87
2022-05-08,50,88
2022-05-15,45,78
2022-05-22,42,72
2022-05-29,39,70
2022-06-05,36,74
2022-06-12,36,72
2022-06-19,36,70
2022-06-26,37,64
2022-07-03,37,69
2022-07-10,37,76
2022-07-17,40,78
2022-07-24,37,76
2022-07-31,39,76
2022-08-07,40,74
2022-08-14,43,72
2022-08-21,46,77
2022-08-28,45,79
2022-09-04,44,73
2022-09-11,48,81
2022-09-18,47,80
2022-09-25,43,77
2022-10-02,45,83
2022-10-09,45,78
2022-10-16,46,85
2022-10-23,45,87
2022-10-30,45,90
2022-11-06,41,84
2022-11-13,44,83
2022-11-20,33,67
2022-11-27,43,99
2022-12-04,44,82
2022-12-11,42,77
2022-12-18,33,64
2022-12-25,34,58
2023-01-01,42,74
2023-01-08,52,77
2023-01-15,58,77
2023-01-22,53,80
2023-01-29,55,87
2023-02-05,56,87
2023-02-12,55,89
2023-02-19,52,79
