类别：工商业

周,农业: (美国),市场营销: (美国)
2018-03-04,37,66
2018-03-11,34,59
2018-03-18,36,63
2018-03-25,34,62
2018-04-01,35,64
2018-04-08,36,66
2018-04-15,36,65
2018-04-22,36,71
2018-04-29,33,64
2018-05-06,35,64
2018-05-13,32,58
2018-05-20,29,56
2018-05-27,28,55
2018-06-03,27,62
2018-06-10,27,60
2018-06-17,25,57
2018-06-24,25,56
2018-07-01,24,50
2018-07-08,27,61
2018-07-15,27,58
2018-07-22,27,60
2018-07-29,28,56
2018-08-05,29,60
2018-08-12,29,57
2018-08-19,32,61
2018-08-26,35,64
2018-09-02,33,60
2018-09-09,34,73
2018-09-16,35,57
2018-09-23,36,66
2018-09-30,32,66
2018-10-07,35,66
2018-10-14,33,65
2018-10-21,35,60
2018-10-28,33,61
2018-11-04,34,64
2018-11-11,30,64
2018-11-18,26,48
2018-11-25,33,62
2018-12-02,34,63
2018-12-09,33,62
2018-12-16,29,59
2018-12-23,22,35
2018-12-30,27,48
2019-01-06,35,63
2019-01-13,37,68
2019-01-20,34,67
2019-01-27,38,66
2019-02-03,36,75
2019-02-10,38,70
2019-02-17,37,66
2019-02-24,38,69
2019-03-03,38,65
2019-03-10,34,66
2019-03-17,36,61
2019-03-24,36,71
2019-03-31,38,67
2019-04-07,37,68
2019-04-14,34,66
2019-04-21,36,70
2019-04-28,37,69
2019-05-05,34,66
2019-05-12,35,63
2019-05-19,33,61
2019-05-26,29,54
2019-06-02,29,62
2019-06-09,29,63
2019-06-16,28,63
2019-06-23,27,62
2019-06-30,26,52
2019-07-07,27,63
2019-07-14,27,65
2019-07-21,27,62
2019-07-28,28,66
2019-08-04,29,67
2019-08-11,31,64
2019-08-18,34,67
2019-08-25,33,65
2019-09-01,32,70
2019-09-08,35,63
2019-09-15,36,77
2019-09-22,37,70
2019-09-29,37,79
2019-10-06,35,69
2019-10-13,34,68
2019-10-20,36,71
2019-10-27,32,67
2019-11-03,35,84
2019-11-10,33,76
2019-11-17,32,70
2019-11-24,24,53
2019-12-01,33,69
2019-12-08,32,68
2019-12-15,30,67
2019-12-22,22,47
2019-12-29,24,50
2020-01-05,32,82
2020-01-12,36,83
2020-01-19,34,75
2020-01-26,36,80
2020-02-02,38,81
2020-02-09,37,85
2020-02-16,40,85
2020-02-23,38,85
2020-03-01,37,82
2020-03-08,32,72
2020-03-15,28,59
2020-03-22,34,57
2020-03-29,40,65
2020-04-05,36,74
2020-04-12,31,73
2020-04-19,37,69
2020-04-26,38,64
2020-05-03,38,71
2020-05-10,37,71
2020-05-17,35,66
2020-05-24,29,60
2020-05-31,28,66
2020-06-07,30,75
2020-06-14,29,67
2020-06-21,28,72
2020-06-28,28,71
2020-07-05,29,76
2020-07-12,28,72
2020-07-19,28,73
2020-07-26,29,75
2020-08-02,27,80
2020-08-09,28,75
2020-08-16,31,84
2020-08-23,33,81
2020-08-30,35,83
2020-09-06,34,84
2020-09-13,37,84
2020-09-20,37,83
2020-09-27,34,79
2020-10-04,33,86
2020-10-11,30,73
2020-10-18,31,84
2020-10-25,30,75
2020-11-01,24,64
2020-11-08,30,77
2020-11-15,30,76
2020-11-22,26,61
2020-11-29,29,73
2020-12-06,30,69
2020-12-13,27,63
2020-12-20,23,55
2020-12-27,24,49
2021-01-03,29,65
2021-01-10,30,71
2021-01-17,31,67
2021-01-24,31,74
2021-01-31,35,67
2021-02-07,33,82
2021-02-14,32,67
2021-02-21,36,70
2021-02-28,35,65
2021-03-07,33,64
2021-03-14,29,61
2021-03-21,31,58
2021-03-28,30,63
2021-04-04,30,72
2021-04-11,31,75
2021-04-18,32,72
2021-04-25,33,71
2021-05-02,30,77
2021-05-09,30,76
2021-05-16,30,70
2021-05-23,31,68
2021-05-30,26,69
2021-06-06,25,69
2021-06-13,27,70
2021-06-20,25,62
2021-06-27,27,67
2021-07-04,26,67
2021-07-11,25,64
2021-07-18,27,69
2021-07-25,27,64
2021-08-01,26,64
2021-08-08,27,69
2021-08-15,28,62
2021-08-22,29,67
2021-08-29,30,73
2021-09-05,30,69
2021-09-12,29,75
2021-09-19,29,76
2021-09-26,31,76
2021-10-03,29,81
2021-10-10,31,78
2021-10-17,31,77
2021-10-24,31,81
2021-10-31,30,75
2021-11-07,30,70
2021-11-14,28,68
2021-11-21,24,60
2021-11-28,29,76
2021-12-05,27,65
2021-12-12,27,63
2021-12-19,21,57
2021-12-26,24,48
2022-01-02,31,63
2022-01-09,31,64
2022-01-16,30,59
2022-01-23,33,66
2022-01-30,34,71
2022-02-06,37,70
2022-02-13,37,77
2022-02-20,34,76
2022-02-27,36,88
2022-03-06,34,81
2022-03-13,33,72
2022-03-20,34,78
