类别：工商业

周,农业: (美国),采矿业: (美国)
2018-03-04,69,61
2018-03-11,64,55
2018-03-18,67,51
2018-03-25,62,48
2018-04-01,65,50
2018-04-08,66,46
2018-04-15,67,46
2018-04-22,67,47
2018-04-29,60,46
2018-05-06,65,48
2018-05-13,60,46
2018-05-20,53,45
2018-05-27,51,43
2018-06-03,50,43
2018-06-10,49,45
2018-06-17,47,43
2018-06-24,47,38
2018-07-01,45,42
2018-07-08,50,45
2018-07-15,50,42
2018-07-22,49,48
2018-07-29,52,48
2018-08-05,54,43
2018-08-12,53,45
2018-08-19,59,43
2018-08-26,65,41
2018-09-02,60,41
2018-09-09,64,42
2018-09-16,65,42
2018-09-23,66,41
2018-09-30,60,42
2018-10-07,65,42
2018-10-14,61,42
2018-10-21,64,42
2018-10-28,61,42
2018-11-04,63,41
2018-11-11,56,46
2018-11-18,47,36
2018-11-25,61,42
2018-12-02,62,42
2018-12-09,61,42
2018-12-16,54,38
2018-12-23,40,35
2018-12-30,49,38
2019-01-06,64,40
2019-01-13,68,44
2019-01-20,63,46
2019-01-27,70,44
2019-02-03,66,43
2019-02-10,70,43
2019-02-17,68,42
2019-02-24,71,41
2019-03-03,70,44
2019-03-10,63,41
2019-03-17,67,42
2019-03-24,66,42
2019-03-31,71,40
2019-04-07,69,42
2019-04-14,63,40
2019-04-21,67,41
2019-04-28,68,40
2019-05-05,63,39
2019-05-12,65,38
2019-05-19,61,41
2019-05-26,54,43
2019-06-02,53,38
2019-06-09,53,39
2019-06-16,52,39
2019-06-23,51,42
2019-06-30,47,40
2019-07-07,50,40
2019-07-14,50,44
2019-07-21,51,38
2019-07-28,51,40
2019-08-04,54,43
2019-08-11,57,42
2019-08-18,63,40
2019-08-25,61,38
2019-09-01,59,39
2019-09-08,65,39
2019-09-15,67,39
2019-09-22,68,39
2019-09-29,68,40
2019-10-06,65,40
2019-10-13,62,38
2019-10-20,66,39
2019-10-27,59,35
2019-11-03,65,40
2019-11-10,60,37
2019-11-17,60,50
2019-11-24,43,41
2019-12-01,60,38
2019-12-08,59,37
2019-12-15,56,35
2019-12-22,41,35
2019-12-29,45,38
2020-01-05,59,42
2020-01-12,66,43
2020-01-19,62,38
2020-01-26,67,41
2020-02-02,71,41
2020-02-09,68,46
2020-02-16,74,45
2020-02-23,69,42
2020-03-01,69,41
2020-03-08,60,37
2020-03-15,52,37
2020-03-22,62,40
2020-03-29,73,40
2020-04-05,66,43
2020-04-12,57,44
2020-04-19,68,44
2020-04-26,70,41
2020-05-03,71,42
2020-05-10,69,41
2020-05-17,64,44
2020-05-24,54,43
2020-05-31,52,35
2020-06-07,55,39
2020-06-14,53,41
2020-06-21,52,39
2020-06-28,51,39
2020-07-05,53,41
2020-07-12,51,40
2020-07-19,52,45
2020-07-26,54,46
2020-08-02,51,52
2020-08-09,52,44
2020-08-16,58,46
2020-08-23,61,41
2020-08-30,64,41
2020-09-06,62,41
2020-09-13,69,42
2020-09-20,68,43
2020-09-27,62,40
2020-10-04,61,41
2020-10-11,56,39
2020-10-18,58,44
2020-10-25,55,40
2020-11-01,45,31
2020-11-08,54,40
2020-11-15,55,44
2020-11-22,48,45
2020-11-29,54,43
2020-12-06,55,44
2020-12-13,51,43
2020-12-20,43,42
2020-12-27,44,47
2021-01-03,53,59
2021-01-10,55,57
2021-01-17,57,59
2021-01-24,57,73
2021-01-31,64,78
2021-02-07,61,97
2021-02-14,60,91
2021-02-21,66,81
2021-02-28,65,68
2021-03-07,61,67
2021-03-14,53,72
2021-03-21,57,63
2021-03-28,55,59
2021-04-04,55,64
2021-04-11,57,68
2021-04-18,59,83
2021-04-25,62,72
2021-05-02,55,78
2021-05-09,56,100
2021-05-16,55,88
2021-05-23,56,72
2021-05-30,47,68
2021-06-06,47,63
2021-06-13,50,62
2021-06-20,47,63
2021-06-27,50,58
2021-07-04,49,57
2021-07-11,46,55
2021-07-18,49,57
2021-07-25,50,53
2021-08-01,49,55
2021-08-08,49,57
2021-08-15,52,64
2021-08-22,54,61
2021-08-29,56,60
2021-09-05,56,60
2021-09-12,54,54
2021-09-19,54,50
2021-09-26,57,51
2021-10-03,54,56
2021-10-10,57,66
2021-10-17,58,63
2021-10-24,58,69
2021-10-31,56,67
2021-11-07,55,75
2021-11-14,52,70
2021-11-21,44,60
2021-11-28,53,66
2021-12-05,51,64
2021-12-12,49,59
2021-12-19,39,59
2021-12-26,43,60
2022-01-02,58,72
2022-01-09,57,75
2022-01-16,56,65
2022-01-23,61,67
2022-01-30,62,63
2022-02-06,69,67
2022-02-13,67,67
2022-02-20,64,65
2022-02-27,66,60
2022-03-06,63,64
2022-03-13,61,63
2022-03-20,63,63
2022-03-27,68,66
2022-04-03,68,64
2022-04-10,63,58
2022-04-17,67,67
2022-04-24,73,64
2022-05-01,84,57
2022-05-08,68,54
2022-05-15,61,50
2022-05-22,57,48
2022-05-29,53,59
2022-06-05,49,58
2022-06-12,49,58
2022-06-19,50,61
2022-06-26,50,58
2022-07-03,51,64
2022-07-10,51,57
2022-07-17,54,55
2022-07-24,51,54
2022-07-31,53,53
2022-08-07,54,52
2022-08-14,59,51
2022-08-21,62,51
2022-08-28,61,47
2022-09-04,60,49
2022-09-11,65,49
2022-09-18,64,49
2022-09-25,58,47
2022-10-02,62,45
2022-10-09,61,47
2022-10-16,62,45
2022-10-23,61,43
2022-10-30,61,44
2022-11-06,56,45
2022-11-13,60,45
2022-11-20,45,42
2022-11-27,59,46
2022-12-04,60,48
2022-12-11,57,47
2022-12-18,46,46
2022-12-25,47,60
2023-01-01,58,49
2023-01-08,71,51
2023-01-15,80,54
2023-01-22,73,53
2023-01-29,75,50
2023-02-05,76,52
2023-02-12,75,49
2023-02-19,70,49
