类别：工商业

周,农业: (美国),制药产业: (美国)
2018-03-04,82,41
2018-03-11,76,38
2018-03-18,80,40
2018-03-25,74,36
2018-04-01,78,40
2018-04-08,79,39
2018-04-15,80,38
2018-04-22,80,38
2018-04-29,72,35
2018-05-06,78,41
2018-05-13,71,39
2018-05-20,64,35
2018-05-27,61,37
2018-06-03,59,39
2018-06-10,59,40
2018-06-17,56,40
2018-06-24,56,37
2018-07-01,53,30
2018-07-08,59,36
2018-07-15,60,40
2018-07-22,59,40
2018-07-29,62,37
2018-08-05,64,39
2018-08-12,63,38
2018-08-19,70,37
2018-08-26,78,34
2018-09-02,72,35
2018-09-09,76,39
2018-09-16,77,41
2018-09-23,79,43
2018-09-30,71,40
2018-10-07,77,39
2018-10-14,73,42
2018-10-21,77,38
2018-10-28,73,41
2018-11-04,75,38
2018-11-11,67,38
2018-11-18,56,24
2018-11-25,72,38
2018-12-02,74,38
2018-12-09,73,35
2018-12-16,64,33
2018-12-23,48,20
2018-12-30,59,34
2019-01-06,76,39
2019-01-13,82,41
2019-01-20,75,41
2019-01-27,83,46
2019-02-03,79,41
2019-02-10,84,40
2019-02-17,81,39
2019-02-24,85,43
2019-03-03,84,47
2019-03-10,75,40
2019-03-17,80,40
2019-03-24,78,43
2019-03-31,85,47
2019-04-07,82,37
2019-04-14,75,37
2019-04-21,80,40
2019-04-28,81,41
2019-05-05,76,38
2019-05-12,78,36
2019-05-19,73,37
2019-05-26,65,34
2019-06-02,63,40
2019-06-09,64,40
2019-06-16,62,39
2019-06-23,61,38
2019-06-30,56,27
2019-07-07,60,39
2019-07-14,60,38
2019-07-21,61,38
2019-07-28,61,39
2019-08-04,65,38
2019-08-11,68,39
2019-08-18,76,38
2019-08-25,72,44
2019-09-01,71,33
2019-09-08,78,46
2019-09-15,80,52
2019-09-22,82,37
2019-09-29,81,40
2019-10-06,78,35
2019-10-13,74,37
2019-10-20,79,39
2019-10-27,70,35
2019-11-03,78,40
2019-11-10,72,35
2019-11-17,71,36
2019-11-24,52,25
2019-12-01,72,36
2019-12-08,71,36
2019-12-15,66,34
2019-12-22,49,21
2019-12-29,54,25
2020-01-05,71,39
2020-01-12,79,42
2020-01-19,74,37
2020-01-26,80,45
2020-02-02,84,47
2020-02-09,81,48
2020-02-16,88,43
2020-02-23,83,48
2020-03-01,82,49
2020-03-08,72,50
2020-03-15,62,54
2020-03-22,74,53
2020-03-29,87,45
2020-04-05,79,46
2020-04-12,69,43
2020-04-19,81,43
2020-04-26,84,42
2020-05-03,85,46
2020-05-10,82,42
2020-05-17,77,47
2020-05-24,65,39
2020-05-31,62,39
2020-06-07,65,43
2020-06-14,63,50
2020-06-21,62,47
2020-06-28,61,41
2020-07-05,64,46
2020-07-12,61,46
2020-07-19,62,50
2020-07-26,65,58
2020-08-02,60,47
2020-08-09,62,46
2020-08-16,69,41
2020-08-23,73,39
2020-08-30,77,40
2020-09-06,74,38
2020-09-13,82,41
2020-09-20,81,37
2020-09-27,74,41
2020-10-04,73,42
2020-10-11,66,41
2020-10-18,69,53
2020-10-25,66,38
2020-11-01,54,30
2020-11-08,65,40
2020-11-15,66,46
2020-11-22,57,33
2020-11-29,65,39
2020-12-06,65,39
2020-12-13,61,40
2020-12-20,51,30
2020-12-27,52,27
2021-01-03,64,38
2021-01-10,66,38
2021-01-17,69,37
2021-01-24,68,42
2021-01-31,77,49
2021-02-07,73,50
2021-02-14,71,41
2021-02-21,79,40
2021-02-28,77,40
2021-03-07,73,39
2021-03-14,64,38
2021-03-21,68,37
2021-03-28,65,34
2021-04-04,66,37
2021-04-11,68,40
2021-04-18,70,36
2021-04-25,74,37
2021-05-02,66,43
2021-05-09,67,40
2021-05-16,66,37
2021-05-23,67,35
2021-05-30,57,34
2021-06-06,56,37
2021-06-13,60,35
2021-06-20,56,36
2021-06-27,60,36
2021-07-04,58,30
2021-07-11,55,34
2021-07-18,59,36
2021-07-25,60,37
2021-08-01,58,40
2021-08-08,59,39
2021-08-15,62,40
2021-08-22,65,40
2021-08-29,67,38
2021-09-05,67,34
2021-09-12,64,41
2021-09-19,65,37
2021-09-26,68,40
2021-10-03,65,38
2021-10-10,68,42
2021-10-17,69,42
2021-10-24,69,48
2021-10-31,67,43
2021-11-07,66,43
2021-11-14,62,44
2021-11-21,52,37
2021-11-28,64,39
2021-12-05,61,34
2021-12-12,59,37
2021-12-19,46,29
2021-12-26,52,28
2022-01-02,69,37
2022-01-09,68,39
2022-01-16,67,35
2022-01-23,73,41
2022-01-30,74,38
2022-02-06,82,40
2022-02-13,81,40
2022-02-20,76,34
2022-02-27,78,38
2022-03-06,76,38
2022-03-13,73,38
2022-03-20,75,34
2022-03-27,81,35
2022-04-03,81,37
2022-04-10,76,33
2022-04-17,80,36
2022-04-24,88,35
2022-05-01,100,37
2022-05-08,81,36
2022-05-15,73,33
2022-05-22,69,32
2022-05-29,63,31
2022-06-05,59,36
2022-06-12,59,33
2022-06-19,60,34
2022-06-26,60,34
2022-07-03,61,30
2022-07-10,61,34
2022-07-17,65,35
2022-07-24,61,33
2022-07-31,63,34
2022-08-07,65,38
2022-08-14,70,34
2022-08-21,75,36
2022-08-28,73,34
2022-09-04,72,30
2022-09-11,78,35
2022-09-18,76,33
2022-09-25,70,31
2022-10-02,74,33
2022-10-09,73,35
2022-10-16,75,34
2022-10-23,73,32
2022-10-30,73,32
2022-11-06,66,32
2022-11-13,72,31
2022-11-20,54,24
2022-11-27,71,31
2022-12-04,72,31
2022-12-11,68,31
2022-12-18,55,24
2022-12-25,56,23
2023-01-01,69,34
2023-01-08,85,35
2023-01-15,95,35
2023-01-22,87,37
2023-01-29,89,36
2023-02-05,91,36
2023-02-12,89,38
2023-02-19,84,36
