类别：工商业

周,农业: (美国),零售: (美国)
2018-03-04,82,27
2018-03-11,76,28
2018-03-18,80,31
2018-03-25,74,29
2018-04-01,78,30
2018-04-08,79,28
2018-04-15,80,28
2018-04-22,80,27
2018-04-29,72,29
2018-05-06,78,28
2018-05-13,71,28
2018-05-20,64,27
2018-05-27,61,27
2018-06-03,59,27
2018-06-10,59,26
2018-06-17,56,28
2018-06-24,56,26
2018-07-01,53,25
2018-07-08,59,28
2018-07-15,60,27
2018-07-22,59,27
2018-07-29,62,25
2018-08-05,64,26
2018-08-12,63,29
2018-08-19,70,28
2018-08-26,78,27
2018-09-02,72,25
2018-09-09,76,27
2018-09-16,77,27
2018-09-23,79,24
2018-09-30,71,26
2018-10-07,77,27
2018-10-14,73,27
2018-10-21,77,27
2018-10-28,73,30
2018-11-04,75,34
2018-11-11,67,33
2018-11-18,56,25
2018-11-25,72,32
2018-12-02,74,32
2018-12-09,73,28
2018-12-16,64,26
2018-12-23,48,19
2018-12-30,59,25
2019-01-06,76,33
2019-01-13,82,32
2019-01-20,75,31
2019-01-27,83,32
2019-02-03,79,30
2019-02-10,84,31
2019-02-17,81,28
2019-02-24,85,28
2019-03-03,84,31
2019-03-10,75,27
2019-03-17,80,28
2019-03-24,78,27
2019-03-31,85,31
2019-04-07,82,28
2019-04-14,75,30
2019-04-21,80,28
2019-04-28,81,27
2019-05-05,76,27
2019-05-12,78,26
2019-05-19,73,26
2019-05-26,65,23
2019-06-02,63,28
2019-06-09,64,28
2019-06-16,62,29
2019-06-23,61,27
2019-06-30,56,24
2019-07-07,60,26
2019-07-14,60,27
2019-07-21,61,25
2019-07-28,61,27
2019-08-04,65,26
2019-08-11,68,27
2019-08-18,76,26
2019-08-25,72,25
2019-09-01,71,26
2019-09-08,78,25
2019-09-15,80,29
2019-09-22,82,29
2019-09-29,81,30
2019-10-06,78,30
2019-10-13,74,25
2019-10-20,79,29
2019-10-27,70,26
2019-11-03,78,28
2019-11-10,72,28
2019-11-17,71,31
2019-11-24,52,21
2019-12-01,72,28
2019-12-08,71,26
2019-12-15,66,24
2019-12-22,49,21
2019-12-29,54,23
2020-01-05,71,29
2020-01-12,79,30
2020-01-19,74,29
2020-01-26,80,24
2020-02-02,84,28
2020-02-09,81,29
2020-02-16,88,30
2020-02-23,83,31
2020-03-01,82,29
2020-03-08,72,28
2020-03-15,62,29
2020-03-22,74,29
2020-03-29,87,29
2020-04-05,79,28
2020-04-12,69,27
2020-04-19,81,30
2020-04-26,84,30
2020-05-03,85,31
2020-05-10,82,30
2020-05-17,77,29
2020-05-24,65,28
2020-05-31,62,26
2020-06-07,65,29
2020-06-14,63,30
2020-06-21,62,29
2020-06-28,61,27
2020-07-05,64,29
2020-07-12,61,29
2020-07-19,62,30
2020-07-26,65,30
2020-08-02,60,29
2020-08-09,62,28
2020-08-16,69,27
2020-08-23,73,28
2020-08-30,77,28
2020-09-06,74,28
2020-09-13,82,27
2020-09-20,81,27
2020-09-27,74,27
2020-10-04,73,28
2020-10-11,66,29
2020-10-18,69,27
2020-10-25,66,26
2020-11-01,54,22
2020-11-08,65,27
2020-11-15,66,31
2020-11-22,57,24
2020-11-29,65,29
2020-12-06,65,30
2020-12-13,61,26
2020-12-20,51,20
2020-12-27,52,21
2021-01-03,64,24
2021-01-10,66,26
2021-01-17,69,27
2021-01-24,68,26
2021-01-31,77,31
2021-02-07,73,27
2021-02-14,71,27
2021-02-21,79,31
2021-02-28,77,28
2021-03-07,73,26
2021-03-14,64,29
2021-03-21,68,26
2021-03-28,65,24
2021-04-04,66,27
2021-04-11,68,30
2021-04-18,70,29
2021-04-25,74,26
2021-05-02,66,27
2021-05-09,67,28
2021-05-16,66,29
2021-05-23,67,25
2021-05-30,57,27
2021-06-06,56,27
2021-06-13,60,27
2021-06-20,56,24
2021-06-27,60,28
2021-07-04,58,27
2021-07-11,55,26
2021-07-18,59,27
2021-07-25,60,28
2021-08-01,58,26
2021-08-08,59,25
2021-08-15,62,26
2021-08-22,65,24
2021-08-29,67,28
2021-09-05,67,26
2021-09-12,64,29
2021-09-19,65,26
2021-09-26,68,28
2021-10-03,65,29
2021-10-10,68,30
2021-10-17,69,31
2021-10-24,69,33
2021-10-31,67,28
2021-11-07,66,29
2021-11-14,62,29
2021-11-21,52,25
2021-11-28,64,31
2021-12-05,61,27
2021-12-12,59,26
2021-12-19,46,22
2021-12-26,52,22
2022-01-02,69,25
2022-01-09,68,26
2022-01-16,67,23
2022-01-23,73,28
2022-01-30,74,29
2022-02-06,82,27
2022-02-13,81,29
2022-02-20,76,29
2022-02-27,78,32
2022-03-06,76,31
2022-03-13,73,28
2022-03-20,75,28
2022-03-27,81,29
2022-04-03,81,31
2022-04-10,76,29
2022-04-17,80,31
2022-04-24,88,29
2022-05-01,100,28
2022-05-08,81,29
2022-05-15,73,30
2022-05-22,69,25
2022-05-29,63,25
2022-06-05,59,25
2022-06-12,59,26
2022-06-19,60,26
2022-06-26,60,25
2022-07-03,61,25
2022-07-10,61,27
2022-07-17,65,26
2022-07-24,61,28
2022-07-31,63,29
2022-08-07,65,26
2022-08-14,70,30
2022-08-21,75,28
2022-08-28,73,26
2022-09-04,72,25
2022-09-11,78,28
2022-09-18,76,27
2022-09-25,70,27
2022-10-02,74,29
2022-10-09,73,28
2022-10-16,75,29
2022-10-23,73,28
2022-10-30,73,27
2022-11-06,66,26
2022-11-13,72,31
2022-11-20,54,22
2022-11-27,71,27
2022-12-04,72,28
2022-12-11,68,28
2022-12-18,55,24
2022-12-25,56,22
2023-01-01,69,25
2023-01-08,85,28
2023-01-15,95,30
2023-01-22,87,28
2023-01-29,89,28
2023-02-05,91,29
2023-02-12,89,27
2023-02-19,85,28
