类别：健康

周,老化: (美国),儿科: (美国)
2018-03-04,16,69
2018-03-11,16,70
2018-03-18,17,65
2018-03-25,17,66
2018-04-01,16,66
2018-04-08,17,62
2018-04-15,18,68
2018-04-22,18,65
2018-04-29,17,69
2018-05-06,17,68
2018-05-13,16,66
2018-05-20,15,66
2018-05-27,15,57
2018-06-03,15,69
2018-06-10,16,69
2018-06-17,16,65
2018-06-24,15,67
2018-07-01,13,59
2018-07-08,16,70
2018-07-15,16,70
2018-07-22,16,75
2018-07-29,17,73
2018-08-05,16,79
2018-08-12,14,74
2018-08-19,16,77
2018-08-26,16,82
2018-09-02,16,69
2018-09-09,17,69
2018-09-16,17,75
2018-09-23,17,73
2018-09-30,17,74
2018-10-07,16,74
2018-10-14,18,72
2018-10-21,17,71
2018-10-28,17,69
2018-11-04,16,72
2018-11-11,17,69
2018-11-18,14,56
2018-11-25,17,75
2018-12-02,17,65
2018-12-09,16,67
2018-12-16,13,63
2018-12-23,13,57
2018-12-30,15,63
2019-01-06,17,70
2019-01-13,17,75
2019-01-20,16,73
2019-01-27,17,80
2019-02-03,19,84
2019-02-10,17,73
2019-02-17,16,66
2019-02-24,17,75
2019-03-03,17,75
2019-03-10,17,71
2019-03-17,17,76
2019-03-24,17,70
2019-03-31,18,74
2019-04-07,18,75
2019-04-14,18,67
2019-04-21,17,72
2019-04-28,17,71
2019-05-05,17,70
2019-05-12,17,73
2019-05-19,17,67
2019-05-26,17,64
2019-06-02,16,73
2019-06-09,15,69
2019-06-16,16,74
2019-06-23,16,71
2019-06-30,14,60
2019-07-07,16,72
2019-07-14,34,74
2019-07-21,19,73
2019-07-28,17,69
2019-08-04,16,79
2019-08-11,16,82
2019-08-18,16,83
2019-08-25,16,72
2019-09-01,16,71
2019-09-08,18,77
2019-09-15,17,79
2019-09-22,19,76
2019-09-29,19,79
2019-10-06,18,76
2019-10-13,15,73
2019-10-20,18,78
2019-10-27,17,70
2019-11-03,18,75
2019-11-10,21,80
2019-11-17,22,78
2019-11-24,17,55
2019-12-01,18,68
2019-12-08,16,69
2019-12-15,17,68
2019-12-22,21,55
2019-12-29,22,66
2020-01-05,19,80
2020-01-12,20,82
2020-01-19,19,77
2020-01-26,20,80
2020-02-02,20,83
2020-02-09,20,77
2020-02-16,19,82
2020-02-23,27,82
2020-03-01,42,78
2020-03-08,66,72
2020-03-15,63,46
2020-03-22,44,39
2020-03-29,36,42
2020-04-05,29,42
2020-04-12,25,40
2020-04-19,26,41
2020-04-26,25,48
2020-05-03,25,48
2020-05-10,25,51
2020-05-17,24,49
2020-05-24,23,48
2020-05-31,18,47
2020-06-07,20,58
2020-06-14,20,64
2020-06-21,22,59
2020-06-28,23,59
2020-07-05,27,67
2020-07-12,27,65
2020-07-19,22,64
2020-07-26,22,69
2020-08-02,22,67
2020-08-09,21,75
2020-08-16,19,70
2020-08-23,18,64
2020-08-30,19,69
2020-09-06,18,60
2020-09-13,19,63
2020-09-20,23,67
2020-09-27,31,64
2020-10-04,25,63
2020-10-11,21,66
2020-10-18,21,67
2020-10-25,22,60
2020-11-01,17,51
2020-11-08,23,59
2020-11-15,30,63
2020-11-22,24,48
2020-11-29,24,61
2020-12-06,27,57
2020-12-13,23,55
2020-12-20,20,45
2020-12-27,22,50
2021-01-03,19,63
2021-01-10,18,61
2021-01-17,18,61
2021-01-24,21,65
2021-01-31,20,64
2021-02-07,20,61
2021-02-14,18,62
2021-02-21,20,68
2021-02-28,18,67
2021-03-07,18,68
2021-03-14,17,65
2021-03-21,16,69
2021-03-28,17,64
2021-04-04,18,68
2021-04-11,18,70
2021-04-18,18,70
2021-04-25,18,71
2021-05-02,18,69
2021-05-09,19,70
2021-05-16,17,73
2021-05-23,17,68
2021-05-30,17,67
2021-06-06,16,61
2021-06-13,16,71
2021-06-20,16,72
2021-06-27,16,72
2021-07-04,17,74
2021-07-11,18,80
2021-07-18,17,82
2021-07-25,18,81
2021-08-01,18,90
2021-08-08,18,94
2021-08-15,16,91
2021-08-22,17,94
2021-08-29,18,89
2021-09-05,17,80
2021-09-12,17,86
2021-09-19,16,83
2021-09-26,18,85
2021-10-03,18,86
2021-10-10,16,81
2021-10-17,16,77
2021-10-24,17,79
2021-10-31,15,100
2021-11-07,17,90
2021-11-14,17,88
2021-11-21,14,58
2021-11-28,18,87
2021-12-05,18,81
2021-12-12,17,71
2021-12-19,14,65
2021-12-26,16,68
2022-01-02,19,81
2022-01-09,19,78
2022-01-16,17,70
2022-01-23,20,75
2022-01-30,18,75
2022-02-06,19,79
2022-02-13,20,81
2022-02-20,19,76
2022-02-27,20,84
2022-03-06,17,80
2022-03-13,19,80
2022-03-20,19,83
2022-03-27,19,82
2022-04-03,20,82
2022-04-10,20,76
2022-04-17,20,79
2022-04-24,21,79
2022-05-01,19,80
2022-05-08,19,83
2022-05-15,17,75
2022-05-22,17,73
2022-05-29,16,67
2022-06-05,17,78
2022-06-12,17,71
2022-06-19,18,80
2022-06-26,17,80
2022-07-03,16,65
2022-07-10,18,78
2022-07-17,18,77
2022-07-24,19,80
2022-07-31,18,83
2022-08-07,16,87
2022-08-14,17,90
2022-08-21,19,87
2022-08-28,19,84
2022-09-04,18,76
2022-09-11,19,88
2022-09-18,19,85
2022-09-25,18,84
2022-10-02,18,86
2022-10-09,17,84
2022-10-16,19,89
2022-10-23,19,86
2022-10-30,19,95
2022-11-06,17,88
2022-11-13,19,86
2022-11-20,17,66
2022-11-27,19,86
2022-12-04,20,80
2022-12-11,19,75
2022-12-18,14,62
2022-12-25,15,61
2023-01-01,18,75
2023-01-08,20,81
2023-01-15,22,79
2023-01-22,22,85
2023-01-29,21,83
2023-02-05,21,84
2023-02-12,21,83
2023-02-19,20,82
