类别：健康

周,老化: (美国),营养: (美国)
2018-03-04,13,90
2018-03-11,13,85
2018-03-18,14,83
2018-03-25,14,84
2018-04-01,13,87
2018-04-08,14,90
2018-04-15,15,87
2018-04-22,15,88
2018-04-29,14,89
2018-05-06,14,84
2018-05-13,13,80
2018-05-20,13,77
2018-05-27,12,78
2018-06-03,13,80
2018-06-10,13,77
2018-06-17,13,76
2018-06-24,13,83
2018-07-01,11,71
2018-07-08,13,83
2018-07-15,13,81
2018-07-22,13,84
2018-07-29,14,80
2018-08-05,13,81
2018-08-12,11,77
2018-08-19,13,78
2018-08-26,13,79
2018-09-02,13,73
2018-09-09,14,79
2018-09-16,14,72
2018-09-23,14,71
2018-09-30,14,73
2018-10-07,14,67
2018-10-14,14,67
2018-10-21,14,68
2018-10-28,14,65
2018-11-04,13,70
2018-11-11,14,64
2018-11-18,11,49
2018-11-25,14,61
2018-12-02,14,59
2018-12-09,13,60
2018-12-16,11,52
2018-12-23,10,47
2018-12-30,12,72
2019-01-06,14,100
2019-01-13,14,98
2019-01-20,13,88
2019-01-27,14,93
2019-02-03,16,90
2019-02-10,14,82
2019-02-17,14,83
2019-02-24,14,87
2019-03-03,14,89
2019-03-10,14,85
2019-03-17,14,82
2019-03-24,14,83
2019-03-31,14,83
2019-04-07,15,80
2019-04-14,15,77
2019-04-21,14,76
2019-04-28,14,80
2019-05-05,14,75
2019-05-12,14,72
2019-05-19,14,74
2019-05-26,14,71
2019-06-02,14,83
2019-06-09,13,77
2019-06-16,13,78
2019-06-23,13,73
2019-06-30,11,65
2019-07-07,13,79
2019-07-14,28,83
2019-07-21,16,75
2019-07-28,14,78
2019-08-04,13,77
2019-08-11,13,75
2019-08-18,13,77
2019-08-25,13,70
2019-09-01,13,72
2019-09-08,15,73
2019-09-15,14,76
2019-09-22,15,78
2019-09-29,16,76
2019-10-06,15,69
2019-10-13,13,64
2019-10-20,15,72
2019-10-27,14,65
2019-11-03,15,74
2019-11-10,18,67
2019-11-17,18,66
2019-11-24,14,47
2019-12-01,15,54
2019-12-08,13,57
2019-12-15,14,49
2019-12-22,17,47
2019-12-29,18,62
2020-01-05,15,87
2020-01-12,16,90
2020-01-19,15,89
2020-01-26,17,85
2020-02-02,16,83
2020-02-09,16,80
2020-02-16,15,85
2020-02-23,22,81
2020-03-01,35,81
2020-03-08,54,65
2020-03-15,52,45
2020-03-22,36,49
2020-03-29,30,51
2020-04-05,24,57
