类别：法律和政府

周,政府: (美国),武装力量: (美国)
2018-03-04,17,24
2018-03-11,16,23
2018-03-18,22,23
2018-03-25,16,24
2018-04-01,15,25
2018-04-08,16,26
2018-04-15,16,25
2018-04-22,16,23
2018-04-29,16,24
2018-05-06,16,25
2018-05-13,13,26
2018-05-20,14,26
2018-05-27,11,26
2018-06-03,14,23
2018-06-10,12,24
2018-06-17,12,25
2018-06-24,13,23
2018-07-01,10,24
2018-07-08,11,25
2018-07-15,13,24
2018-07-22,11,24
2018-07-29,11,25
2018-08-05,11,24
2018-08-12,12,26
2018-08-19,15,23
2018-08-26,16,24
2018-09-02,18,23
2018-09-09,21,22
2018-09-16,23,22
2018-09-23,23,22
2018-09-30,23,21
2018-10-07,19,22
2018-10-14,20,24
2018-10-21,19,23
2018-10-28,19,24
2018-11-04,23,26
2018-11-11,20,29
2018-11-18,12,22
2018-11-25,20,22
2018-12-02,25,26
2018-12-09,24,24
2018-12-16,54,25
2018-12-23,50,25
2018-12-30,62,25
2019-01-06,100,24
2019-01-13,82,23
2019-01-20,94,25
2019-01-27,36,24
2019-02-03,27,24
2019-02-10,35,23
2019-02-17,22,23
2019-02-24,20,24
2019-03-03,19,23
2019-03-10,17,23
2019-03-17,17,22
2019-03-24,17,22
2019-03-31,18,24
2019-04-07,17,24
2019-04-14,16,23
2019-04-21,15,23
2019-04-28,17,23
2019-05-05,16,23
2019-05-12,15,26
2019-05-19,13,25
2019-05-26,13,29
2019-06-02,12,25
2019-06-09,11,23
2019-06-16,11,24
2019-06-23,11,24
2019-06-30,11,28
2019-07-07,12,23
2019-07-14,10,24
2019-07-21,11,24
2019-07-28,10,24
2019-08-04,11,24
2019-08-11,13,23
2019-08-18,14,23
2019-08-25,17,23
2019-09-01,17,21
2019-09-08,22,23
2019-09-15,23,22
2019-09-22,23,24
2019-09-29,22,23
2019-10-06,19,22
2019-10-13,18,22
2019-10-20,20,23
2019-10-27,18,24
2019-11-03,21,29
2019-11-10,20,32
2019-11-17,23,26
2019-11-24,10,23
2019-12-01,19,24
2019-12-08,20,24
2019-12-15,23,24
2019-12-22,8,24
2019-12-29,10,37
2020-01-05,19,40
2020-01-12,18,23
2020-01-19,17,23
2020-01-26,18,23
