类别：旅游

周,飞机: (美国),行李: (美国)
2018-03-04,60,53
2018-03-11,62,55
2018-03-18,64,55
2018-03-25,59,52
2018-04-01,57,52
2018-04-08,56,50
2018-04-15,80,51
2018-04-22,59,51
2018-04-29,59,54
2018-05-06,60,57
2018-05-13,66,59
2018-05-20,60,58
2018-05-27,65,63
2018-06-03,67,63
2018-06-10,66,67
2018-06-17,71,66
2018-06-24,70,69
2018-07-01,67,65
2018-07-08,68,67
2018-07-15,70,68
2018-07-22,66,65
2018-07-29,71,63
2018-08-05,80,64
2018-08-12,85,61
2018-08-19,85,55
2018-08-26,58,55
2018-09-02,64,51
2018-09-09,57,44
2018-09-16,54,43
2018-09-23,58,46
2018-09-30,56,44
2018-10-07,56,41
2018-10-14,56,46
2018-10-21,55,41
2018-10-28,54,43
2018-11-04,55,45
2018-11-11,57,51
2018-11-18,59,66
2018-11-25,55,62
2018-12-02,57,56
2018-12-09,55,58
2018-12-16,61,64
2018-12-23,65,67
2018-12-30,61,63
2019-01-06,61,54
2019-01-13,61,48
2019-01-20,58,45
2019-01-27,59,45
2019-02-03,55,45
2019-02-10,58,47
2019-02-17,64,54
2019-02-24,65,52
2019-03-03,65,56
2019-03-10,92,56
2019-03-17,67,57
2019-03-24,66,53
2019-03-31,58,53
2019-04-07,60,52
2019-04-14,59,54
2019-04-21,59,53
2019-04-28,60,54
2019-05-05,68,57
2019-05-12,73,64
2019-05-19,68,64
2019-05-26,68,65
2019-06-02,67,66
2019-06-09,70,68
2019-06-16,74,70
2019-06-23,75,72
2019-06-30,77,73
2019-07-07,77,70
2019-07-14,71,70
2019-07-21,72,66
2019-07-28,68,69
2019-08-04,65,64
2019-08-11,66,64
2019-08-18,62,61
2019-08-25,59,56
2019-09-01,60,52
2019-09-08,58,49
2019-09-15,58,52
2019-09-22,61,48
2019-09-29,60,51
2019-10-06,61,47
2019-10-13,61,49
2019-10-20,71,48
2019-10-27,64,45
2019-11-03,56,53
2019-11-10,60,52
2019-11-17,55,55
2019-11-24,58,70
2019-12-01,59,69
2019-12-08,59,64
2019-12-15,66,67
2019-12-22,72,74
2019-12-29,67,66
2020-01-05,73,59
2020-01-12,67,56
2020-01-19,63,52
2020-01-26,66,48
2020-02-02,63,50
2020-02-09,67,50
2020-02-16,64,52
2020-02-23,62,50
2020-03-01,62,44
2020-03-08,100,37
2020-03-15,55,20
2020-03-22,33,13
2020-03-29,32,10
2020-04-05,29,10
2020-04-12,28,10
2020-04-19,31,10
2020-04-26,33,11
2020-05-03,38,13
2020-05-10,39,14
2020-05-17,41,17
2020-05-24,36,17
2020-05-31,34,17
2020-06-07,42,22
2020-06-14,46,21
2020-06-21,45,22
2020-06-28,45,21
2020-07-05,43,20
2020-07-12,44,20
2020-07-19,43,21
2020-07-26,44,22
2020-08-02,42,21
2020-08-09,44,22
2020-08-16,45,21
2020-08-23,42,20
2020-08-30,44,21
2020-09-06,44,26
2020-09-13,42,18
2020-09-20,42,20
2020-09-27,40,20
2020-10-04,43,20
2020-10-11,42,24
2020-10-18,46,22
2020-10-25,39,21
2020-11-01,31,18
2020-11-08,41,22
2020-11-15,44,26
2020-11-22,42,27
2020-11-29,41,27
2020-12-06,43,27
2020-12-13,44,24
2020-12-20,51,25
2020-12-27,48,25
2021-01-03,44,24
2021-01-10,43,23
2021-01-17,42,20
2021-01-24,40,22
2021-01-31,39,22
2021-02-07,45,23
2021-02-14,45,27
2021-02-21,55,26
2021-02-28,51,28
2021-03-07,54,28
2021-03-14,58,28
2021-03-21,57,31
2021-03-28,58,31
2021-04-04,57,30
2021-04-11,57,33
2021-04-18,60,32
2021-04-25,57,31
2021-05-02,57,35
2021-05-09,61,38
2021-05-16,62,36
2021-05-23,68,42
2021-05-30,67,45
2021-06-06,67,48
2021-06-13,71,49
2021-06-20,71,52
2021-06-27,70,53
2021-07-04,74,54
2021-07-11,72,50
2021-07-18,72,52
2021-07-25,67,51
2021-08-01,64,49
2021-08-08,61,45
2021-08-15,67,41
2021-08-22,58,38
2021-08-29,54,37
2021-09-05,58,34
2021-09-12,55,34
2021-09-19,53,34
2021-09-26,54,36
2021-10-03,57,38
2021-10-10,60,38
2021-10-17,55,37
2021-10-24,56,37
2021-10-31,55,33
2021-11-07,55,44
2021-11-14,59,49
2021-11-21,58,62
2021-11-28,56,56
2021-12-05,55,49
2021-12-12,60,53
2021-12-19,61,47
2021-12-26,58,46
2022-01-02,59,46
2022-01-09,53,40
2022-01-16,50,38
2022-01-23,53,42
2022-01-30,52,41
2022-02-06,57,44
2022-02-13,59,48
2022-02-20,64,49
2022-02-27,64,52
2022-03-06,70,56
2022-03-13,67,57
2022-03-20,70,53
2022-03-27,61,53
2022-04-03,62,53
2022-04-10,66,53
2022-04-17,79,56
2022-04-24,65,54
2022-05-01,62,57
2022-05-08,68,57
2022-05-15,69,57
2022-05-22,70,60
2022-05-29,73,68
2022-06-05,74,67
2022-06-12,74,62
2022-06-19,77,71
2022-06-26,70,73
2022-07-03,77,73
2022-07-10,79,80
2022-07-17,76,77
2022-07-24,72,71
2022-07-31,73,64
2022-08-07,70,68
2022-08-14,70,62
2022-08-21,66,59
2022-08-28,67,57
2022-09-04,65,54
2022-09-11,62,53
2022-09-18,61,51
2022-09-25,55,50
2022-10-02,59,52
2022-10-09,60,54
2022-10-16,60,48
2022-10-23,59,50
2022-10-30,57,49
2022-11-06,57,51
2022-11-13,62,54
2022-11-20,63,73
2022-11-27,61,70
2022-12-04,59,62
2022-12-11,65,63
2022-12-18,69,73
2022-12-25,70,82
2023-01-01,69,67
2023-01-08,79,57
2023-01-15,76,58
2023-01-22,69,54
2023-01-29,68,53
2023-02-05,70,54
2023-02-12,67,52
2023-02-19,70,59
