类别：旅游

周,飞机: (美国),汽车租赁: (美国)
2018-03-04,28,54
2018-03-11,29,54
2018-03-18,29,55
2018-03-25,27,55
2018-04-01,26,53
2018-04-08,26,51
2018-04-15,37,52
2018-04-22,27,50
2018-04-29,27,51
2018-05-06,28,56
2018-05-13,30,59
2018-05-20,28,63
2018-05-27,30,57
2018-06-03,31,63
2018-06-10,31,66
2018-06-17,33,66
2018-06-24,32,67
2018-07-01,31,65
2018-07-08,31,69
2018-07-15,32,69
2018-07-22,30,68
2018-07-29,33,62
2018-08-05,37,62
2018-08-12,39,60
2018-08-19,39,52
2018-08-26,27,51
2018-09-02,30,45
2018-09-09,26,45
2018-09-16,25,45
2018-09-23,27,46
2018-09-30,26,50
2018-10-07,26,44
2018-10-14,26,45
2018-10-21,25,42
2018-10-28,25,41
2018-11-04,26,42
2018-11-11,26,43
2018-11-18,27,42
2018-11-25,25,39
2018-12-02,26,39
2018-12-09,25,41
2018-12-16,28,47
2018-12-23,30,49
2018-12-30,28,44
2019-01-06,28,43
2019-01-13,28,46
2019-01-20,27,45
2019-01-27,27,44
2019-02-03,25,46
2019-02-10,26,49
2019-02-17,30,51
2019-02-24,30,53
2019-03-03,30,55
2019-03-10,42,58
2019-03-17,31,54
2019-03-24,30,56
2019-03-31,26,55
2019-04-07,28,54
2019-04-14,27,52
2019-04-21,27,52
2019-04-28,28,53
2019-05-05,31,56
2019-05-12,33,60
2019-05-19,31,62
2019-05-26,31,60
2019-06-02,31,61
2019-06-09,32,64
2019-06-16,34,71
2019-06-23,34,70
2019-06-30,36,68
2019-07-07,36,69
2019-07-14,33,68
2019-07-21,33,66
2019-07-28,31,64
2019-08-04,30,64
2019-08-11,30,61
2019-08-18,29,58
2019-08-25,27,52
2019-09-01,28,56
2019-09-08,27,58
2019-09-15,27,60
2019-09-22,28,61
2019-09-29,28,62
2019-10-06,28,57
2019-10-13,28,57
2019-10-20,33,57
2019-10-27,29,50
2019-11-03,26,56
2019-11-10,28,52
2019-11-17,25,57
2019-11-24,26,60
2019-12-01,27,58
2019-12-08,27,56
2019-12-15,30,64
2019-12-22,33,75
2019-12-29,31,67
2020-01-05,34,71
2020-01-12,31,71
2020-01-19,29,73
2020-01-26,30,67
2020-02-02,29,71
2020-02-09,31,67
2020-02-16,29,71
2020-02-23,29,68
2020-03-01,28,66
2020-03-08,46,63
2020-03-15,25,41
2020-03-22,15,33
2020-03-29,15,26
2020-04-05,13,29
2020-04-12,13,28
2020-04-19,14,29
2020-04-26,15,33
2020-05-03,17,39
2020-05-10,18,41
2020-05-17,19,48
2020-05-24,17,54
2020-05-31,16,53
2020-06-07,19,65
2020-06-14,21,68
2020-06-21,21,67
2020-06-28,21,64
2020-07-05,20,58
2020-07-12,20,57
2020-07-19,20,58
2020-07-26,20,57
2020-08-02,20,62
2020-08-09,20,58
2020-08-16,21,56
2020-08-23,19,50
2020-08-30,20,54
2020-09-06,20,50
2020-09-13,20,49
2020-09-20,19,54
2020-09-27,18,58
2020-10-04,20,61
2020-10-11,20,64
2020-10-18,21,59
2020-10-25,18,50
2020-11-01,14,45
2020-11-08,19,56
2020-11-15,20,59
2020-11-22,19,52
2020-11-29,19,47
2020-12-06,20,52
2020-12-13,20,55
2020-12-20,23,57
2020-12-27,22,55
2021-01-03,20,54
2021-01-10,20,53
2021-01-17,19,51
2021-01-24,19,56
2021-01-31,18,54
2021-02-07,21,60
2021-02-14,21,64
2021-02-21,25,65
2021-02-28,23,70
2021-03-07,25,84
2021-03-14,27,90
2021-03-21,26,90
2021-03-28,27,91
2021-04-04,26,97
2021-04-11,26,94
2021-04-18,27,84
2021-04-25,26,88
2021-05-02,26,92
2021-05-09,28,100
2021-05-16,29,95
2021-05-23,31,93
2021-05-30,31,91
2021-06-06,31,92
2021-06-13,33,98
2021-06-20,33,88
2021-06-27,32,87
2021-07-04,34,83
2021-07-11,33,83
2021-07-18,33,84
2021-07-25,31,82
2021-08-01,30,74
2021-08-08,28,69
2021-08-15,31,72
2021-08-22,27,67
2021-08-29,25,66
2021-09-05,27,63
2021-09-12,25,70
2021-09-19,25,71
2021-09-26,25,74
2021-10-03,26,70
2021-10-10,27,74
2021-10-17,26,68
2021-10-24,26,67
2021-10-31,25,64
2021-11-07,25,59
2021-11-14,27,62
2021-11-21,27,61
2021-11-28,26,56
2021-12-05,25,56
2021-12-12,28,58
2021-12-19,28,50
2021-12-26,27,49
2022-01-02,27,49
2022-01-09,24,47
2022-01-16,23,43
2022-01-23,24,45
2022-01-30,24,46
2022-02-06,26,51
2022-02-13,27,58
2022-02-20,30,59
2022-02-27,30,61
2022-03-06,32,64
2022-03-13,31,65
2022-03-20,32,59
2022-03-27,28,55
2022-04-03,29,62
2022-04-10,31,54
2022-04-17,36,54
2022-04-24,30,54
2022-05-01,29,52
2022-05-08,32,60
2022-05-15,32,56
2022-05-22,32,55
2022-05-29,34,56
2022-06-05,34,58
2022-06-12,34,57
2022-06-19,35,59
2022-06-26,32,60
2022-07-03,36,56
2022-07-10,36,59
2022-07-17,35,57
2022-07-24,33,55
2022-07-31,34,54
2022-08-07,32,54
2022-08-14,32,57
2022-08-21,30,53
2022-08-28,31,48
2022-09-04,30,46
2022-09-11,29,49
2022-09-18,28,46
2022-09-25,25,43
2022-10-02,27,45
2022-10-09,28,45
2022-10-16,27,44
2022-10-23,27,41
2022-10-30,26,40
2022-11-06,26,40
2022-11-13,28,41
2022-11-20,29,37
2022-11-27,28,41
2022-12-04,27,37
2022-12-11,30,40
2022-12-18,32,44
2022-12-25,32,57
2023-01-01,32,45
